Trap,Block,Latitude,Longitude,Date,Species,AddressAccuracy,NumMosquitos,Day_of_week,Day_of_month,Week,Month,Year,Season,Month_Name,Sunrise,Sunset,DaytimeLength,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,RelativeHumidity,DewPointDepression,WetBulbDepression,WnvPresent
T001,40,41.953705,-87.733974,2007-06-26,CULEX PIPIENS/RESTUANS,8,1,1,26,26,6,2007,Summer,June,0 days 04:18:00,0 days 19:31:00,15.13,91.5,71.5,81.5,10.0,69.0,72.0,0.0,16.5,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,65.89,12.5,9.5,0
T001,40,41.953705,-87.733974,2007-07-11,CULEX PIPIENS/RESTUANS,8,1,2,11,28,7,2007,Summer,July,0 days 04:26:00,0 days 19:28:00,15.02,77.0,62.5,69.75,-3.0,51.0,59.0,0.0,5.0,0.0,29.255000000000003,29.925,8.95,30.0,11.05,51.35,18.75,10.75,0
T001,40,41.953705,-87.733974,2007-07-18,CULEX PIPIENS,8,1,2,18,29,7,2007,Summer,July,0 days 04:32:00,0 days 19:24:00,14.52,85.0,69.0,77.0,3.0,68.5,71.0,0.0,12.0,1.235,29.145,29.835,9.7,24.0,10.35,75.08,8.5,6.0,0
T001,40,41.953705,-87.733974,2007-08-01,CULEX PIPIENS,8,1,2,1,31,8,2007,Summer,Aug,0 days 04:45:00,0 days 19:11:00,14.26,91.5,69.0,80.25,8.0,62.5,69.5,0.0,15.5,0.0,29.314999999999998,29.990000000000002,2.8,11.0,3.9,54.77,17.75,10.75,0
T001,40,41.953705,-87.733974,2007-08-01,CULEX PIPIENS/RESTUANS,8,3,2,1,31,8,2007,Summer,Aug,0 days 04:45:00,0 days 19:11:00,14.26,91.5,69.0,80.25,8.0,62.5,69.5,0.0,15.5,0.0,29.314999999999998,29.990000000000002,2.8,11.0,3.9,54.77,17.75,10.75,0
T001,40,41.953705,-87.733974,2007-08-07,CULEX PIPIENS,8,1,1,7,32,8,2007,Summer,Aug,0 days 04:51:00,0 days 19:04:00,14.13,91.5,72.5,82.0,9.0,73.0,76.0,0.0,17.5,0.685,29.085,29.75,6.25,24.5,8.9,74.27,9.0,6.0,0
T001,40,41.953705,-87.733974,2007-08-07,CULEX PIPIENS/RESTUANS,8,1,1,7,32,8,2007,Summer,Aug,0 days 04:51:00,0 days 19:04:00,14.13,91.5,72.5,82.0,9.0,73.0,76.0,0.0,17.5,0.685,29.085,29.75,6.25,24.5,8.9,74.27,9.0,6.0,0
T001,40,41.953705,-87.733974,2007-08-15,CULEX PIPIENS,8,5,2,15,33,8,2007,Summer,Aug,0 days 04:59:00,0 days 18:54:00,13.55,80.5,71.5,76.0,4.0,68.0,70.5,0.0,11.5,0.53,29.200000000000003,29.880000000000003,4.15,6.5,6.449999999999999,76.29,8.0,5.5,0
T001,40,41.953705,-87.733974,2007-08-15,CULEX PIPIENS/RESTUANS,8,5,2,15,33,8,2007,Summer,Aug,0 days 04:59:00,0 days 18:54:00,13.55,80.5,71.5,76.0,4.0,68.0,70.5,0.0,11.5,0.53,29.200000000000003,29.880000000000003,4.15,6.5,6.449999999999999,76.29,8.0,5.5,0
T001,40,41.953705,-87.733974,2007-08-21,CULEX PIPIENS,8,1,1,21,34,8,2007,Summer,Aug,0 days 05:05:00,0 days 18:45:00,13.4,86.0,69.0,77.5,7.0,70.0,72.0,0.0,12.5,0.0055,29.235,29.9,3.65,17.5,6.0,77.74,7.5,5.5,0
T001,40,41.953705,-87.733974,2007-08-24,CULEX PIPIENS/RESTUANS,8,2,4,24,34,8,2007,Summer,Aug,0 days 05:09:00,0 days 18:40:00,13.31,80.5,69.0,74.75,4.0,67.0,69.0,0.0,10.0,0.22,29.134999999999998,29.814999999999998,5.65,25.0,7.199999999999999,76.85,7.75,5.75,0
T001,40,41.953705,-87.733974,2007-09-12,CULEX PIPIENS/RESTUANS,8,1,2,12,37,9,2007,Fall,Sep,0 days 05:28:00,0 days 18:09:00,12.41,66.5,46.0,56.25,-8.0,42.5,49.5,8.5,0.0,0.0,29.43,30.115000000000002,1.85,4.0,5.8,59.9,13.75,6.75,0
T001,40,41.953705,-87.733974,2007-10-04,CULEX PIPIENS,8,1,3,4,40,10,2007,Fall,Oct,0 days 05:52:00,0 days 17:29:00,11.37,82.5,53.5,68.0,10.0,56.0,61.5,0.0,3.5,0.0,29.365000000000002,30.035,4.25,17.0,5.25,65.48,12.0,6.5,0
T001,40,41.953705,-87.733974,2007-10-04,CULEX TERRITANS,8,1,3,4,40,10,2007,Fall,Oct,0 days 05:52:00,0 days 17:29:00,11.37,82.5,53.5,68.0,10.0,56.0,61.5,0.0,3.5,0.0,29.365000000000002,30.035,4.25,17.0,5.25,65.48,12.0,6.5,0
