Block,Latitude,Longitude,AddressAccuracy,NumMosquitos,Day_of_week,Day_of_month,Week,Month,Year,DaytimeLength,Tavg,Depart,Heat,Cool,PrecipTotal,SeaLevel,ResultSpeed,ResultDir,RelativeHumidity,DewPointDepression,WnvPresent,Wnv_percent_yearly,Wnv_percent_seasonal,Wnv_percent_monthly,Wnv_percent_weekly,Sevenday_lag,Fourteenday_lag,Twentyoneday_lag,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Season_Fall,Season_Spring,Season_Summer,Month_Name_Aug,Month_Name_July,Month_Name_June,Month_Name_Oct,Month_Name_Sep
40,41.953705,-87.733974,8,1,1,26,26,6,2007,15.13,81.5,10.0,0.0,16.5,0.0805,30.1,6.699999999999999,21.5,65.89,12.5,0,6.661966866408178,8.282208588957054,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,1,0,0
40,41.953705,-87.733974,8,1,2,11,28,7,2007,15.02,69.75,-3.0,0.0,5.0,0.0,29.925,8.95,30.0,51.35,18.75,0,6.661966866408178,8.282208588957054,0.6521739130434783,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,1,0,0,0
40,41.953705,-87.733974,8,1,2,18,29,7,2007,14.52,77.0,3.0,0.0,12.0,1.235,29.835,9.7,24.0,75.08,8.5,0,6.661966866408178,8.282208588957054,0.6521739130434783,0.6666666666666666,0.8620689655172413,0.8620689655172413,0.8620689655172413,1,0,0,0,0,1,0,1,0,0,0
40,41.953705,-87.733974,8,1,2,1,31,8,2007,14.26,80.25,8.0,0.0,15.5,0.0,29.99,2.8,11.0,54.77,17.75,0,6.661966866408178,8.282208588957054,12.036336109008326,4.9046321525885554,-8.985360928823825,4.438284391373219,5.30035335689046,1,0,0,0,0,1,1,0,0,0,0
40,41.953705,-87.733974,8,3,2,1,31,8,2007,14.26,80.25,8.0,0.0,15.5,0.0,29.99,2.8,11.0,54.77,17.75,0,6.661966866408178,8.282208588957054,12.036336109008326,4.9046321525885554,-8.985360928823825,4.438284391373219,5.30035335689046,0,1,0,0,0,1,1,0,0,0,0
40,41.953705,-87.733974,8,1,1,7,32,8,2007,14.13,82.0,9.0,0.0,17.5,0.685,29.75,6.25,24.5,74.27,9.0,0,6.661966866408178,8.282208588957054,12.036336109008326,7.906976744186046,6.145251396648044,6.145251396648044,6.145251396648044,1,0,0,0,0,1,1,0,0,0,0
40,41.953705,-87.733974,8,1,1,7,32,8,2007,14.13,82.0,9.0,0.0,17.5,0.685,29.75,6.25,24.5,74.27,9.0,0,6.661966866408178,8.282208588957054,12.036336109008326,7.906976744186046,6.145251396648044,6.145251396648044,6.145251396648044,0,1,0,0,0,1,1,0,0,0,0
40,41.953705,-87.733974,8,5,2,15,33,8,2007,13.55,76.0,4.0,0.0,11.5,0.53,29.880000000000003,4.15,6.5,76.29,8.0,0,6.661966866408178,8.282208588957054,12.036336109008326,15.750915750915752,-15.185823283288212,8.925588065703684,-0.059772863120141295,1,0,0,0,0,1,1,0,0,0,0
40,41.953705,-87.733974,8,5,2,15,33,8,2007,13.55,76.0,4.0,0.0,11.5,0.53,29.880000000000003,4.15,6.5,76.29,8.0,0,6.661966866408178,8.282208588957054,12.036336109008326,15.750915750915752,-15.185823283288212,8.925588065703684,-0.059772863120141295,0,1,0,0,0,1,1,0,0,0,0
40,41.953705,-87.733974,8,1,1,21,34,8,2007,13.4,77.5,7.0,0.0,12.5,0.0055,29.9,3.65,17.5,77.74,7.5,0,6.661966866408178,8.282208588957054,12.036336109008326,17.16937354988399,17.12707182320442,10.981820426556377,17.12707182320442,1,0,0,0,0,1,1,0,0,0,0
40,41.953705,-87.733974,8,2,4,24,34,8,2007,13.31,74.75,4.0,0.0,10.0,0.22,29.815,5.65,25.0,76.85,7.75,0,6.661966866408178,8.282208588957054,12.036336109008326,17.16937354988399,-6.740331491712707,13.259668508287293,13.259668508287293,0,1,0,0,0,1,1,0,0,0,0
40,41.953705,-87.733974,8,1,2,12,37,9,2007,12.41,56.25,-8.0,8.5,0.0,0.0,30.115,1.85,4.0,59.9,13.75,0,6.661966866408178,3.1542056074766354,3.816793893129771,3.9682539682539684,-9.591068065644336,3.968253968253968,-23.567977915804004,0,1,0,1,0,0,0,0,0,0,1
40,41.953705,-87.733974,8,1,3,4,40,10,2007,11.37,68.0,10.0,0.0,3.5,0.0,30.035,4.25,17.0,65.48,12.0,0,6.661966866408178,3.1542056074766354,0.9950248756218906,1.1049723756906078,1.1049723756906076,1.1049723756906076,1.1049723756906076,1,0,0,1,0,0,0,0,0,1,0
40,41.953705,-87.733974,8,1,3,4,40,10,2007,11.37,68.0,10.0,0.0,3.5,0.0,30.035,4.25,17.0,65.48,12.0,0,6.661966866408178,3.1542056074766354,0.9950248756218906,1.1049723756906078,1.1049723756906076,1.1049723756906076,1.1049723756906076,0,0,0,1,0,0,0,0,0,1,0
41,41.95469,-87.800991,9,1,1,29,22,5,2007,14.56,75.25,10.0,0.0,10.5,0.0,30.1,5.8,17.0,56.04,16.75,0,6.661966866408178,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0
41,41.95469,-87.800991,9,1,1,29,22,5,2007,14.56,75.25,10.0,0.0,10.5,0.0,30.1,5.8,17.0,56.04,16.75,0,6.661966866408178,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0
41,41.95469,-87.800991,9,1,1,5,23,6,2007,15.06,56.25,-9.0,8.5,0.0,0.345,29.785,5.7,4.0,72.43,8.75,0,6.661966866408178,8.282208588957054,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,1,0,0
41,41.95469,-87.800991,9,3,1,5,23,6,2007,15.06,56.25,-9.0,8.5,0.0,0.345,29.785,5.7,4.0,72.43,8.75,0,6.661966866408178,8.282208588957054,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,1,0,0
41,41.95469,-87.800991,9,5,1,5,23,6,2007,15.06,56.25,-9.0,8.5,0.0,0.345,29.785,5.7,4.0,72.43,8.75,0,6.661966866408178,8.282208588957054,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,1,0,0
41,41.95469,-87.800991,9,1,1,26,26,6,2007,15.13,81.5,10.0,0.0,16.5,0.0805,30.1,6.699999999999999,21.5,65.89,12.5,0,6.661966866408178,8.282208588957054,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,1,0,0
41,41.95469,-87.800991,9,4,1,26,26,6,2007,15.13,81.5,10.0,0.0,16.5,0.0805,30.1,6.699999999999999,21.5,65.89,12.5,0,6.661966866408178,8.282208588957054,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,1,0,0
41,41.95469,-87.800991,9,1,1,26,26,6,2007,15.13,81.5,10.0,0.0,16.5,0.0805,30.1,6.699999999999999,21.5,65.89,12.5,0,6.661966866408178,8.282208588957054,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0
41,41.95469,-87.800991,9,2,4,29,26,6,2007,15.12,63.25,-8.0,1.5,0.0,0.0,30.12,7.5,2.0,75.84,7.75,0,6.661966866408178,8.282208588957054,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,1,0,0
41,41.95469,-87.800991,9,3,0,2,27,7,2007,15.11,66.75,-6.0,0.0,2.0,0.0,30.215,6.65,13.0,54.86,16.75,0,6.661966866408178,8.282208588957054,0.6521739130434783,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,1,0,0,0
41,41.95469,-87.800991,9,2,0,2,27,7,2007,15.11,66.75,-6.0,0.0,2.0,0.0,30.215,6.65,13.0,54.86,16.75,0,6.661966866408178,8.282208588957054,0.6521739130434783,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,0
41,41.95469,-87.800991,9,2,2,11,28,7,2007,15.02,69.75,-3.0,0.0,5.0,0.0,29.925,8.95,30.0,51.35,18.75,0,6.661966866408178,8.282208588957054,0.6521739130434783,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0
41,41.95469,-87.800991,9,18,2,11,28,7,2007,15.02,69.75,-3.0,0.0,5.0,0.0,29.925,8.95,30.0,51.35,18.75,0,6.661966866408178,8.282208588957054,0.6521739130434783,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,1,0,0,0
